"","standard_value","Binary","assay_type","not_sure","rdkit"
"479",7.86062319952359,1,"binding",0,"O=C1c2ccc(Nc3ccc(F)cc3F)cc2CCc2ccc(OCCO)cc21"
"480",7.13667713987954,1,"binding",1,"Cc1ccc(C(N)=O)cc1Nc1nc(NCC(C)C)nc(N[C@H]2CCNC2)n1"
"481",8,1,"binding",0,"COc1cc2ncnc(Nc3cc(NC(=O)c4cccc(N5CCOCC5)c4)ccc3C)c2cc1OC"
"482",7,1,"binding",1,"COc1cccc(C)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21"
"483",6,0,"binding",0,"Cc1ccc(C(=O)NC2CC2)cc1Nc1ncnn2cc(CO)c(C)c12"
"484",7.88605664769316,1,"binding",0,"CC(C)CNc1cc(-c2[nH]c(SCC(O)CO)nc2-c2ccc(F)cc2)ccn1"
"485",7.10790539730952,1,"binding",1,"COC(=O)c1cn2ncnc(Nc3cc(C(N)=O)ccc3C)c2c1C"
"486",7.50863830616573,1,"binding",0,"CCNC(=O)c1ccc(C)c(Nc2nc(N[C@H]3CCNC3)nc(N(C)CC(C)(C)C)n2)c1"
"487",6.87144162598164,0,"binding",1,"NC(=O)Cc1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1"
"488",8.48148606012211,1,"binding",0,"Cc1ccc(C(=O)NC2CC2)cc1Nc1cc(=O)n(C)c2c1cnn2-c1cccc(F)c1"
"489",7.17272985874401,1,"binding",1,"Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ncnc4[nH]c(=O)[nH]c34)c3ccccc23)cc1"
"490",7.74472749489669,1,"binding",0,"CONC(=O)c1ccc(C)c(Nc2nc(N(C)CC(C)(C)C)nc(N3CCNCC3)n2)c1"
"491",7.23657200643706,1,"binding",1,"CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)no1"
"492",5,0,"binding",0,"Cc1cccc(-c2[nH]c(CNC(=O)c3cccc(C(N)=O)c3)nc2-c2ccc3ncnn3c2)n1"
"493",5,0,"binding",0,"O=C1c2ccc(Nc3ccc(F)cc3F)cc2OCc2cccc(OC[C@@H](O)CO)c21"
"494",6.38615817812393,0,"binding",1,"Cc1ccccc1-c1c(N)c(C(=O)c2ccccc2)cc[n+]1[O-]"
